City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,coquimbo,-29.9533,-71.3436,62.33,63,0,2.3,CL,1684420353
310,battagram,34.6772,73.0233,67.82,66,42,5.57,PK,1684420378
311,tual,-5.6667,132.75,82.08,69,100,17.74,ID,1684420226
312,nikel,69.4128,30.222,35.78,64,100,14.58,RU,1684420227
313,al fuwayliq,26.4432,43.2534,100.11,7,4,9.95,SA,1684420227
314,iwanai,42.9744,140.5089,51.1,97,100,1.88,JP,1684420227
315,dudinka,69.4058,86.1778,36.63,100,100,17.02,RU,1684420228
316,puerto madryn,-42.7692,-65.0385,56.73,38,0,15.08,AR,1684420036
317,ribeirao branco,-24.2208,-48.7656,67.77,50,11,5.12,BR,1684420379
318,puan,35.7281,126.7319,64.29,87,100,6.17,KR,1684420228
319,timber pines,28.4703,-82.6032,86.13,64,20,3.44,US,1684420380
320,altay,47.8667,88.1167,52.07,35,78,9.93,CN,1684420229
321,ebute ikorodu,6.6009,3.4882,89.92,66,40,3.44,NG,1684420229
322,susuman,62.7833,148.1667,31.3,86,22,9.46,RU,1684420230
323,beyneu,45.3167,55.2,65.55,54,92,3.31,KZ,1684420230
324,parkes,-33.1333,148.1833,41.67,76,0,4.61,AU,1684420230
325,al qitena,14.8648,32.3668,106.38,4,9,7.27,SD,1684420230
326,levuka,50.1834,-105.4011,42.51,65,75,18.41,CA,1684420231
327,geraldton,-28.7667,114.6,70.21,28,5,16.11,AU,1684420231
328,bengkulu,-3.8004,102.2655,76.8,90,100,3.4,ID,1684420381
329,plasencia,40.0312,-6.0885,74.32,15,2,1.1,ES,1684420231
330,saint joseph,39.7686,-94.8466,70.56,78,0,3.44,US,1684420231
331,mahina,-17.5065,-149.489,78.57,78,75,3.44,PF,1684420231
332,erenhot,43.6475,111.9767,65.88,37,61,24.61,CN,1684420382
333,saudarkrokur,65.7461,-19.6394,52.52,69,100,7.61,IS,1684420382
334,daru,-9.0763,143.2092,78.13,89,98,16.62,PG,1684420382
335,nemuro,43.3236,145.575,45.5,93,100,5.7,JP,1684420237
336,sinop,41.7711,34.8709,55.83,86,39,4.56,TR,1684420238
